Booking_ID,Hotel_Type,Hotel_Location,Booking_Date,Arrival_Date,Lead_Time_Days,Weekend_Nights,Weekday_Nights,Adults,Children,Babies,Country,Market_Segment,Distribution_Channel,Is_Repeated_Guest,Previous_Cancellations,Previous_Bookings,Room_Type_Reserved,Room_Type_Assigned,Booking_Changes,Deposit_Type,Agent_ID,Days_In_Waiting_List,Customer_Type,Meal_Type,Total_Nights,ADR,Required_Car_Parking_Spaces,Total_Special_Requests,Satisfaction_Score,Reservation_Status,Is_Canceled,Reservation_Status_Date,Estimated_Revenue,Has_Company,Arrival_Month,Arrival_Year,Total_Guests
HTL024548,City Hotel,London,2024-07-29,2025-07-04,340,2,2,2,0.0,0,Are,Direct,Direct,1,0,6,H,H,0,Non Refund,103.0,2.5,Contract,Hb,4.0,178.66,0,1,4.37,No-Show,1,2025-07-07,714.65,0,July,2025,2.0
HTL019878,City Hotel,London,2024-05-28,2025-02-08,256,1,2,2,2.0,0,Jpn,Groups,Direct,0,0,0,H,H,0,No Deposit,80.0,2.5,Contract,Undefined,3.0,125.81,0,0,3.63,Canceled,1,2025-02-09,377.43,0,February,2025,4.0
HTL017377,City Hotel,Lisbon,2024-05-10,2024-06-20,41,1,1,4,0.0,0,Pol,Online Ta,Ta/To,0,0,0,D,D,0,No Deposit,53.0,2.0,Transient,Fb,2.0,148.03,0,0,3.7,Check-Out,0,2024-06-20,296.06,0,June,2024,4.0
HTL003352,City Hotel,Lisbon,2024-03-15,2024-04-07,23,0,2,2,0.0,0,Can,Offline Ta/To,Ta/To,0,0,0,H,H,3,No Deposit,96.0,0.0,Contract,Hb,2.0,166.82,0,3,3.18,Check-Out,0,2024-04-08,333.63,0,April,2024,2.0
HTL012521,City Hotel,London,2024-08-21,2025-05-30,282,0,3,4,0.0,0,Prt,Direct,Direct,0,0,0,C,C,0,No Deposit,51.0,2.5,Group,Hb,3.0,76.83,0,1,3.79,Check-Out,0,2025-06-01,230.5,0,May,2025,4.0
HTL014174,City Hotel,Dubai,2024-05-17,2025-03-26,313,1,1,2,0.0,0,Dnk,Online Ta,Ta/To,0,0,0,G,E,1,No Deposit,8.0,2.5,Group,Undefined,2.0,143.31,0,3,3.3,Canceled,1,2025-03-27,286.62,0,March,2025,2.0
HTL005872,Resort Hotel,Maldives,2025-07-03,2026-06-16,348,1,3,2,0.0,0,Bra,Offline Ta/To,Ta/To,0,0,0,G,G,0,No Deposit,100.0,0.0,Group,Sc,4.0,226.94,0,0,4.22,Canceled,1,2026-06-19,907.75,0,June,2026,2.0
HTL015091,City Hotel,Amsterdam,2024-03-23,2024-06-22,91,3,1,2,0.0,0,Aus,Offline Ta/To,Ta/To,0,0,0,C,C,0,Non Refund,38.0,0.0,Transient,Undefined,4.0,127.13,0,0,4.4,Canceled,1,2024-06-23,508.53,0,June,2024,2.0
HTL009423,Resort Hotel,Algarve,2025-03-16,2025-11-10,239,1,0,1,1.0,0,Gbr,Online Ta,Corporate,0,0,0,C,C,1,No Deposit,160.0,0.0,Transient,Bb,1.0,144.7,1,2,3.85,Canceled,1,2025-11-10,144.7,1,November,2025,2.0
HTL001216,City Hotel,Amsterdam,2025-04-20,2025-10-25,188,0,1,2,1.0,0,Esp,Direct,Direct,0,0,0,G,B,0,Non Refund,150.0,0.0,Group,Hb,1.0,171.38,1,0,3.71,Canceled,1,2025-10-25,171.38,0,October,2025,3.0
